#Strand_gene_id	ChrName	Strand	Gene_start	Gene_end	Symbol	Entrez_id
MIR6724-2-21-1	chr21	+	8249505	8249596	MIR6724-2	103504727
TUBA1A-12-1	chr12	-	49184795	49189324	TUBA1A	7846
EXTL3-8-1	chr8	+	28607736	28753690	EXTL3	2137
WRAP73-1-1	chr1	-	3630767	3650107	WRAP73	49856
PALLD-4-1	chr4	+	168497039	168928457	PALLD	23022
PDC-1-1	chr1	-	186443566	186461108	PDC	5132
OASL-12-1	chr12	-	121018882	121039242	OASL	8638
GNAT2-1-1	chr1	-	109603091	109619733	GNAT2	2780
CRYM-16-1	chr16	-	21258518	21303136	CRYM	1428
SIRPD-20-1	chr20	-	1534251	1557697	SIRPD	128646
DIDO1-20-1	chr20	-	62877738	62937952	DIDO1	11083
RAB44-6-1	chr6	+	36697808	36733183	RAB44	401258
MIR1322-8-1	chr8	-	10825373	10825443	MIR1322	100302166
FDX1-11-1	chr11	+	110429937	110464884	FDX1	2230
MAD2L1BP-6-1	chr6	+	43629542	43640952	MAD2L1BP	9587
NACAD-7-1	chr7	-	45080432	45089452	NACAD	23148
PIN1P1-1-1	chr1	+	69919322	69920317	PIN1P1	5301
EIF3J-15-1	chr15	+	44537068	44562803	EIF3J	8669
NR5A2-1-1	chr1	+	200027602	200177424	NR5A2	2494
GRIK3-1-1	chr1	-	36795527	37034243	GRIK3	2899
LOC101927769-7-1	chr7	+	20296708	20311712	LOC101927769	101927769
OR9I1-11-1	chr11	-	58118500	58119444	OR9I1	219954
AP2A1-19-1	chr19	+	49766923	49807114	AP2A1	160
OR5L1-11-1	chr11	+	55811367	55812476	OR5L1	219437
INPP5A-10-1	chr10	+	132537779	132783480	INPP5A	3632
GLI2-2-1	chr2	+	120735865	120992653	GLI2	2736
FBXL12-19-1	chr19	-	9810267	9820528	FBXL12	54850
C15ORF48-15-1	chr15	+	45430529	45433449	C15orf48	84419
RALGAPA2-20-1	chr20	-	20389558	20712638	RALGAPA2	57186
GOLGA6C-15-1	chr15	+	75258404	75273455	GOLGA6C	653641
LINC00709-10-1	chr10	+	9275613	9287057	LINC00709	100507163
LINC00616-4-1	chr4	-	138027422	138130685	LINC00616	641365
H3F3A-1-1	chr1	+	226062707	226072002	H3F3A	3020
PUF60-8-1	chr8	-	143816344	143830041	PUF60	22827
RPIA-2-1	chr2	+	88691658	88750935	RPIA	22934
OR2F2-7-1	chr7	+	143935233	143936186	OR2F2	135948
MIR6744-11-1	chr11	+	1256605	1256670	MIR6744	102466725
TMEM243-7-1	chr7	-	87196162	87220587	TMEM243	79161
URAD-13-1	chr13	-	27978106	27988637	URAD	646625
ZFAND6-15-1	chr15	+	80059568	80138393	ZFAND6	54469
SLITRK4-23-1	chrX	-	143622790	143636107	SLITRK4	139065
AFG3L1P-16-1	chr16	+	89972580	90000787	AFG3L1P	172
HSBP1L1-18-1	chr18	+	79964582	79970822	HSBP1L1	440498
MIR4300HG-11-1	chr11	-	81879851	82403913	MIR4300HG	101928989
MIR4730-17-1	chr17	+	80419418	80419493	MIR4730	100616359
RBM33-7-1	chr7	+	155644494	155781485	RBM33	155435
SAR1B-5-1	chr5	-	134601149	134632843	SAR1B	51128
LOC100506281-16-1	chr16	+	75226383	75228203	LOC100506281	100506281
LINC01093-4-1	chr4	-	184893000	184899461	LINC01093	100506229
PIP5KL1-9-1	chr9	-	127920886	127931958	PIP5KL1	138429
PM20D2-6-1	chr6	+	89094818	89165569	PM20D2	135293
TP53I3-2-1	chr2	-	24077428	24085767	TP53I3	9540
NAP1L4-11-1	chr11	-	2944430	2992377	NAP1L4	4676
LHFP-13-1	chr13	-	39342892	39603219	LHFPL6	10186
AKAP9-7-1	chr7	+	91940867	92112908	AKAP9	10142
SUMO4-6-1	chr6	+	149400359	149401046	SUMO4	387082
ITGAM-16-1	chr16	+	31259967	31332892	ITGAM	3684
MID1-23-1	chrX	-	10445310	10833690	MID1	4281
IKBIP-12-1	chr12	-	98613404	98645051	IKBIP	121457
ADCK1-14-1	chr14	+	77800058	77933954	ADCK1	57143
CEP170P1-4-1	chr4	+	118516340	118554204	CEP170P1	645455
DOK7-4-1	chr4	+	3463306	3501476	DOK7	285489
VPS26A-10-1	chr10	+	69124153	69174416	VPS26A	9559
TGFB2-OT1-1-1	chr1	+	218442626	218443995	TGFB2-OT1	103611157
SLC41A2-12-1	chr12	-	104802553	104958744	SLC41A2	84102
MIR3611-10-1	chr10	-	35079598	35079680	MIR3611	100500890
WIPI1-17-1	chr17	-	68421281	68457524	WIPI1	55062
DDX42-17-1	chr17	+	63773856	63819317	DDX42	11325
MIR1255B1-4-1	chr4	-	36426366	36426428	MIR1255B1	100313806
TJP2-9-1	chr9	+	69121006	69255208	TJP2	9414
UGT2B4-4-1	chr4	-	69480165	69526014	UGT2B4	7363
CDH4-20-1	chr20	+	61252426	61940617	CDH4	1002
SCP2-1-1	chr1	+	52927229	53051617	SCP2	6342
JARID2-6-1	chr6	+	15245975	15522042	JARID2	3720
MRPL51-12-1	chr12	-	6492150	6493305	MRPL51	51258
CCT6B-17-1	chr17	-	34927859	34981222	CCT6B	10693
TBC1D10A-22-1	chr22	-	30291990	30326966	TBC1D10A	83874
ILVBL-19-1	chr19	-	15114974	15125799	ILVBL	10994
PINCR-23-1	chrX	+	43176994	43226598	PINCR	101927501
KLKP1-19-1	chr19	-	50882096	50896398	KLKP1	606293
HRH1-3-1	chr3	+	11137093	11263253	HRH1	3269
LINC02025-3-1	chr3	+	84882090	84893379	LINC02025	105377192
LOC100507468-7-1	chr7	-	69594804	69597624	LOC100507468	100507468
OR52N5-11-1	chr11	-	5777634	5778667	OR52N5	390075
ARSG-17-1	chr17	+	68259182	68452005	ARSG	22901
ZCCHC5-23-1	chrX	-	78656069	78659328	RTL3	203430
VPS13B-8-1	chr8	+	99013085	99877586	VPS13B	157680
RBMX2-23-1	chrX	+	130401949	130413656	RBMX2	51634
SMARCAL1-2-1	chr2	+	216412414	216483053	SMARCAL1	50485
LINC01133-1-1	chr1	+	159961224	159979086	LINC01133	100505633
CLEC7A-12-1	chr12	-	10116777	10130269	CLEC7A	64581
LOC100506188-6-1	chr6	-	57260524	57263346	LOC100506188	100506188
ADAMDEC1-8-1	chr8	+	24384285	24406013	ADAMDEC1	27299
TOPBP1-3-1	chr3	-	133600605	133661968	TOPBP1	11073
MIR4419A-1-1	chr1	-	23057858	23057934	MIR4419A	100616177
PHYH-10-1	chr10	-	13277796	13300130	PHYH	5264
CHRNB2-1-1	chr1	+	154567781	154584708	CHRNB2	1141
UBE2B-5-1	chr5	+	134371176	134392108	UBE2B	7320
TXNDC15-5-1	chr5	+	134873770	134901633	TXNDC15	79770
PPP1R3B-8-1	chr8	-	9136254	9151642	PPP1R3B	79660
FAM96B-16-1	chr16	-	66932055	66934423	FAM96B	51647
MUC4-3-1	chr3	-	195746765	195811973	MUC4	4585
B3GALNT2-1-1	chr1	-	235440654	235504481	B3GALNT2	148789
MCL1-1-1	chr1	-	150574551	150579738	MCL1	4170
CRHR1-17-1	chr17	+	45784280	45835828	CRHR1	1394
TAF3-10-1	chr10	+	7818504	8016631	TAF3	83860
USP17L17-4-1	chr4	+	9243879	9245471	USP17L17	100287327
LHX8-1-1	chr1	+	75128434	75199454	LHX8	431707
MIR4418-1-1	chr1	+	22266239	22266300	MIR4418	100616433
CDC26-9-1	chr9	-	113267008	113275589	CDC26	246184
OPLAH-8-1	chr8	-	144051266	144064026	OPLAH	26873
LOC107985820-2-1	chr2	-	124011934	124025174	LOC107985820	107985820
MRPL2-6-1	chr6	-	43054029	43060180	MRPL2	51069
PRH1-PRR4-12-1	chr12	-	10845849	11171625	PRH1-PRR4	100533464
MICA-6-1	chr6	+	31399784	31415315	MICA	100507436
LARGE-AS1-22-1	chr22	+	33724986	33750817	LARGE-AS1	100506195
HAGLROS-2-1	chr2	+	176178166	176179009	HAGLROS	102800310
FAM72C-1-1	chr1	-	143955364	143973519	FAM72C	554282
C22ORF46-22-1	chr22	+	41688939	41698136	C22orf46	79640
LOC91548-1-1	chr1	+	211675762	211687459	LOC91548	91548
HIST1H3J-6-1	chr6	-	27890315	27890792	HIST1H3J	8356
LOC100131532-6-1	chr6	+	169962623	169967678	LOC100131532	100131532
MIR3974-12-1	chr12	+	17673299	17673394	MIR3974	100616279
ESPNL-2-1	chr2	+	238100310	238133287	ESPNL	339768
BCKDHB-6-1	chr6	+	80106610	80469088	BCKDHB	594
ZBTB47-3-1	chr3	+	42653684	42667580	ZBTB47	92999
POTEA-8-1	chr8	+	43292370	43365175	POTEA	340441
MIR19B1-13-1	chr13	+	91351192	91351278	MIR19B1	406980
RHOB-2-1	chr2	+	20447071	20449445	RHOB	388
GGTLC2-22-1	chr22	+	22644620	22647898	GGTLC2	91227
RUSC1-1-1	chr1	+	155320849	155331118	RUSC1	23623
IL31-12-1	chr12	-	122172030	122174199	IL31	386653
NFIB-9-1	chr9	-	14081843	14398983	NFIB	4781
MIR1248-3-1	chr3	+	186786672	186786777	MIR1248	100302143
RPF1-1-1	chr1	+	84479237	84498350	RPF1	80135
NUDCD1-8-1	chr8	-	109240919	109334121	NUDCD1	84955
MAP2K2-19-1	chr19	-	4090321	4124184	MAP2K2	5605
WARS2-IT1-1-1	chr1	+	119047405	119063287	WARS2-IT1	104472716
LOC100996255-15-1	chr15	+	32536759	32580609	LINC02256	100996255
GSE1-16-1	chr16	+	85169512	85676206	GSE1	23199
LOC100505501-8-1	chr8	+	59119210	59123478	LOC100505501	100505501
UBE2E4P-23-1	chrX	+	14244265	14245423	UBE2E4P	286480
SARS2-19-1	chr19	-	38915264	38930896	SARS2	54938
RAB10-2-1	chr2	+	26033860	26137454	RAB10	10890
MUC21-6-1	chr6	+	30983708	30989903	MUC21	394263
TAS2R3-7-1	chr7	+	141764097	141765197	TAS2R3	50831
SLC2A1-AS1-1-1	chr1	+	42959049	42983358	SLC2A1-AS1	440584
LRFN5-14-1	chr14	+	41606856	41904549	LRFN5	145581
ARRDC4-15-1	chr15	+	97960703	97973838	ARRDC4	91947
CDHR1-10-1	chr10	+	84194635	84219621	CDHR1	92211
ACTB-7-1	chr7	-	5527146	5530709	ACTB	60
RABGGTA-14-1	chr14	-	24265538	24271627	RABGGTA	5875
ZMAT1-23-1	chrX	-	101882288	101932135	ZMAT1	84460
SMIM11B-21-1	chr21	+	7744951	7772253	SMIM11B	102723553
GNS-12-1	chr12	-	64713442	64759446	GNS	2799
ESD-13-1	chr13	-	46771256	46797700	ESD	2098
LOC100287036-16-1	chr16	+	89321133	89325348	LOC100287036	100287036
HIST2H2AB-1-1	chr1	-	149887469	149887916	HIST2H2AB	317772
KRT84-12-1	chr12	-	52377665	52386977	KRT84	3890
NPPB-1-1	chr1	-	11857464	11858935	NPPB	4879
SQRDL-15-1	chr15	+	45631148	45691294	SQOR	58472
HTR3D-3-1	chr3	+	184031544	184039369	HTR3D	200909
SCGB1C1-11-1	chr11	+	187881	194575	SCGB1C1	147199
SVOPL-7-1	chr7	-	138591689	138701547	SVOPL	136306
TRIM59-IFT80-3-1	chr3	-	160227454	160485747	TRIM59-IFT80	100174949
EIF2AK4-15-1	chr15	+	39934101	40036153	EIF2AK4	440275
FAM196B-5-1	chr5	-	169861306	169980757	FAM196B	100131897
KIAA1598-10-1	chr10	-	116883377	117126586	SHTN1	57698
MAPK3-16-1	chr16	-	30114105	30123309	MAPK3	5595
GPR89A-1-1	chr1	+	145607960	145670977	GPR89A	653519
PSAPL1-4-1	chr4	-	7430294	7434973	PSAPL1	768239
APOC4-19-1	chr19	+	44942238	44945496	APOC4	346
NR4A3-9-1	chr9	+	99821855	99866893	NR4A3	8013
LOXL3-2-1	chr2	-	74532258	74555719	LOXL3	84695
IGLL3P-22-1	chr22	+	25318257	25320227	IGLL3P	91353
FASTKD5-20-1	chr20	-	3146519	3159886	FASTKD5	60493
MIR1283-2-19-1	chr19	+	53758232	53758318	MIR1283-2	100302205
JADE1-4-1	chr4	+	128809623	128875224	JADE1	79960
MIR6510-17-1	chr17	-	41517164	41517217	MIR6510	102466658
RASGEF1C-5-1	chr5	-	180100795	180209130	RASGEF1C	255426
ZNF385D-AS1-3-1	chr3	+	21542789	21579959	ZNF385D-AS1	100874216
PIGO-9-1	chr9	-	35085496	35096601	PIGO	84720
FAM182A-20-1	chr20	+	26054614	26086917	FAM182A	284800
LOC284191-17-1	chr17	-	16975999	16981353	LOC284191	284191
MIR548AW-9-1	chr9	+	132945707	132945771	MIR548AW	100846992
HCAR2-12-1	chr12	-	122701293	122703357	HCAR2	338442
SHC1-1-1	chr1	-	154962298	154974492	SHC1	6464
NIPAL4-5-1	chr5	+	157460019	157474722	NIPAL4	348938
SART1-11-1	chr11	+	65961689	65980136	SART1	9092
C9ORF170-9-1	chr9	+	87148644	87159726	C9orf170	401535
CDC42SE2-5-1	chr5	+	131264009	131394690	CDC42SE2	56990
PYGL-14-1	chr14	-	50905217	50944530	PYGL	5836
ECSCR-5-1	chr5	-	139448554	139462743	ECSCR	641700
LOC100421746-23-1	chrX	+	55280088	55288786	LOC100421746	100421746
CYCSP52-1-1	chr1	+	157128362	157128671	CYCSP52	360155
LYRM1-16-1	chr16	+	20899626	20925006	LYRM1	57149
BIRC8-19-1	chr19	-	53289601	53291622	BIRC8	112401
KREMEN2-16-1	chr16	+	2964216	2968383	KREMEN2	79412
MTHFD2P1-3-1	chr3	-	95654423	95683193	MTHFD2P1	100287639
LOC100505984-2-1	chr2	-	160257719	160271895	LINC02478	100505984
CALML3-10-1	chr10	+	5524889	5526268	CALML3	810
SNURF-15-1	chr15	+	24954893	24978723	SNURF	8926
MB21D1-6-1	chr6	-	73425133	73452320	CGAS	115004
SNORD114-14-14-1	chr14	+	100972103	100972176	SNORD114-14	767592
GRB2-17-1	chr17	-	75318076	75405709	GRB2	2885
PDZK1IP1-1-1	chr1	-	47183589	47190099	PDZK1IP1	10158
ZNF280C-23-1	chrX	-	130202699	130268948	ZNF280C	55609
CCDC89-11-1	chr11	-	85683844	85686277	CCDC89	220388
TUBB4A-19-1	chr19	-	6494319	6502848	TUBB4A	10382
TMEM181-6-1	chr6	+	158536432	158635435	TMEM181	57583
AQP7-9-1	chr9	-	33383135	33402682	AQP7	364
SEC61A2-10-1	chr10	+	12129641	12169958	SEC61A2	55176
MIR619-12-1	chr12	-	108836908	108837006	MIR619	693204
SH3GL1P2-17-1	chr17	+	30624318	30626823	SH3GL1P2	6459
TLR5-1-1	chr1	-	223108401	223143282	TLR5	7100
SOX5-12-1	chr12	-	23529499	24562701	SOX5	6660
CLPS-6-1	chr6	-	35794982	35797344	CLPS	1208
LINC00488-3-1	chr3	+	109178165	109185261	LINC00488	677779
LPP-3-1	chr3	+	188152152	188890671	LPP	4026
FABP12-8-1	chr8	-	81524673	81590664	FABP12	646486
HSD17B14-19-1	chr19	-	48813014	48836688	HSD17B14	51171
JAK2-9-1	chr9	+	4985086	5128183	JAK2	3717
ZSCAN16-6-1	chr6	+	28123753	28130086	ZSCAN16	80345
UBIAD1-1-1	chr1	+	11273198	11299572	UBIAD1	29914
MIR378C-10-1	chr10	-	130962588	130962668	MIR378C	100422867
FHOD1-16-1	chr16	-	67229389	67247522	FHOD1	29109
ANKRD13C-1-1	chr1	-	70259002	70354977	ANKRD13C	81573
TMEM108-AS1-3-1	chr3	-	133246448	133257121	TMEM108-AS1	101927455
SNORD28-11-1	chr11	-	62854621	62854695	SNORD28	9300
TMX1-14-1	chr14	+	51240168	51257655	TMX1	81542
OR5AP2-11-1	chr11	-	56641489	56642439	OR5AP2	338675
OR5B12-11-1	chr11	-	58439120	58440173	OR5B12	390191
NODAL-10-1	chr10	-	70431936	70447948	NODAL	4838
LOC101929353-4-1	chr4	+	100190033	100215505	LOC101929353	101929353
SLC5A11-16-1	chr16	+	24845863	24911628	SLC5A11	115584
MIRLET7C-21-1	chr21	+	16539828	16539911	MIRLET7C	406885
FOXK2-17-1	chr17	+	82519718	82604607	FOXK2	3607
CTSH-15-1	chr15	-	78921750	78945098	CTSH	1512
NHEJ1-2-1	chr2	-	219075324	219160865	NHEJ1	79840
ALPP-2-1	chr2	+	232378534	232382889	ALPP	250
LOC105378828-1-1	chr1	-	86571181	86704493	LOC105378828	105378828
CCDC149-4-1	chr4	-	24803514	24980204	CCDC149	91050
LINC02511-4-1	chr4	-	136795902	137212799	LINC02511	105377441
LOC285766-6-1	chr6	-	181466	205484	LOC285766	285766
ESM1-5-1	chr5	-	54977867	54985586	ESM1	11082
USF2-19-1	chr19	+	35268978	35279821	USF2	7392
CKS1B-1-1	chr1	+	154974642	154979249	CKS1B	1163
FAM173A-16-1	chr16	+	720581	722590	FAM173A	65990
LOC646762-7-1	chr7	-	29645922	29685138	LOC646762	646762
ROR1-1-1	chr1	+	63774019	64181498	ROR1	4919
P2RX6P-22-1	chr22	-	21042392	21044249	P2RX6P	440799
NOM1-7-1	chr7	+	156949722	156973182	NOM1	64434
LOC102724264-10-1	chr10	-	43777562	43778902	LOC102724264	102724264
PLA2G3-22-1	chr22	-	31134807	31140607	PLA2G3	50487
MIR550B2-7-1	chr7	-	32732981	32733077	MIR550B2	100500830
P2RX5-TAX1BP3-17-1	chr17	-	3662893	3696404	P2RX5-TAX1BP3	100533970
CYP1B1-2-1	chr2	-	38067603	38076181	CYP1B1	1545
CCDC43-17-1	chr17	-	44677437	44689797	CCDC43	124808
CD2-1-1	chr1	+	116754430	116769229	CD2	914
FEZ1-11-1	chr11	-	125445745	125496310	FEZ1	9638
MIR194-2-11-1	chr11	-	64891355	64891439	MIR194-2	406970
CD99-24-1	chrY	+	2691133	2741309	CD99	4267
MRPL10-17-1	chr17	-	47823272	47831541	MRPL10	124995
MRPL55-1-1	chr1	-	228106679	228111746	MRPL55	128308
IKZF4-12-1	chr12	+	56007647	56038435	IKZF4	64375
CTTN-11-1	chr11	+	70398506	70436584	CTTN	2017
ANAPC16-10-1	chr10	+	72216000	72235860	ANAPC16	119504
CYP4F12-19-1	chr19	+	15673018	15698819	CYP4F12	66002
GCN1L1-12-1	chr12	-	120127210	120194710	GCN1	10985
WRAP53-17-1	chr17	+	7686071	7703502	WRAP53	55135
SNORA78-16-1	chr16	+	1965184	1965310	SNORA78	677844
SMPD3-16-1	chr16	-	68358327	68448703	SMPD3	55512
PTCSC2-9-1	chr9	-	97699625	97853080	PTCSC2	101928337
C15ORF62-15-1	chr15	+	40769961	40772449	C15orf62	643338
TTC23-15-1	chr15	-	99136323	99251235	TTC23	64927
CCDC150-2-1	chr2	+	196639632	196733668	CCDC150	284992
C1S-12-1	chr12	+	7060661	7071032	C1S	716
KIAA1462-10-1	chr10	-	30012800	30115494	JCAD	57608
LOC100130476-6-1	chr6	-	137823669	137868233	LOC100130476	100130476
LOC105378385-10-1	chr10	-	79628757	79663185	LOC105378385	105378385
CSNK1E-22-1	chr22	-	38290691	38318084	CSNK1E	1454
FXR1-3-1	chr3	+	180912446	180982753	FXR1	8087
MIR507-23-1	chrX	-	147230984	147231077	MIR507	574512
GPR87-3-1	chr3	-	151294086	151316848	GPR87	53836
SSC5D-19-1	chr19	+	55488503	55519099	SSC5D	284297
KIAA1324L-7-1	chr7	-	86876906	87059714	KIAA1324L	222223
HEXIM2-17-1	chr17	+	45159948	45170040	HEXIM2	124790
SPSB2-12-1	chr12	-	6870935	6873357	SPSB2	84727
NXPH2-2-1	chr2	-	138669157	138780241	NXPH2	11249
SERINC2-1-1	chr1	+	31409565	31434680	SERINC2	347735
LOC102724323-10-1	chr10	-	45444568	45453121	LOC102724323	102724323
ABTB2-11-1	chr11	-	34150987	34358008	ABTB2	25841
ARL4A-7-1	chr7	+	12686827	12690934	ARL4A	10124
DUSP1-5-1	chr5	-	172768090	172771200	DUSP1	1843
ENTPD7-10-1	chr10	+	99659377	99711245	ENTPD7	57089
MTRF1-13-1	chr13	-	41216369	41312038	MTRF1	9617
OR51V1-11-1	chr11	-	5199735	5200700	OR51V1	283111
MYL7-7-1	chr7	-	44138864	44141392	MYL7	58498
LOC101927151-19-1	chr19	+	27793431	28024969	LOC101927151	101927151
MYCBP2-13-1	chr13	-	77044657	77327098	MYCBP2	23077
LACTB2-8-1	chr8	-	70637266	70669212	LACTB2	51110
LATS1-6-1	chr6	-	149658153	149718256	LATS1	9113
USE1-19-1	chr19	+	17215346	17219831	USE1	55850
CDKN3-14-1	chr14	+	54396868	54420218	CDKN3	1033
AP1S2-23-1	chrX	-	15825806	15855014	AP1S2	8905
MIR3680-1-16-1	chr16	-	21506049	21506135	MIR3680-1	100500917
TMEM169-2-1	chr2	+	216081866	216102783	TMEM169	92691
CHAF1B-21-1	chr21	+	36380145	36416827	CHAF1B	8208
SCGB1D2-11-1	chr11	+	62242252	62244808	SCGB1D2	10647
ERVW-1-7-1	chr7	-	92468380	92477915	ERVW-1	30816
SLC6A1-3-1	chr3	+	10992734	11039249	SLC6A1	6529
SLC22A9-11-1	chr11	+	63368871	63410878	SLC22A9	114571
CT47A4-23-1	chrX	-	120967886	120971306	CT47A4	728075
GPR108-19-1	chr19	-	6729914	6737622	GPR108	56927
CPSF3L-1-1	chr1	-	1311585	1324687	INTS11	54973
TENM1-23-1	chrX	-	124375903	125204381	TENM1	10178
GOLGA8DP-15-1	chr15	+	23157340	23170783	GOLGA8DP	100132979
GATM-15-1	chr15	-	45361124	45402317	GATM	2628
PIF1-15-1	chr15	-	64815630	64827173	PIF1	80119
LINC00441-13-1	chr13	-	48296513	48303661	LINC00441	100862704
SAMD4A-14-1	chr14	+	54567097	54793315	SAMD4A	23034
KCNQ2-20-1	chr20	-	63400208	63472677	KCNQ2	3785
LOC101929165-10-1	chr10	+	74912786	74936402	LOC101929165	101929165
MIR500A-23-1	chrX	+	50008431	50008514	MIR500A	574502
IGFL1-19-1	chr19	+	46229752	46231243	IGFL1	374918
BAI1-8-1	chr8	+	142449703	142545009	ADGRB1	575
FLJ39095-1-1	chr1	+	247104511	247109561	FLJ39095	400812
LOC79999-17-1	chr17	-	19154524	19162624	LOC79999	79999
FBP1-9-1	chr9	-	94603133	94640258	FBP1	2203
SPC24-19-1	chr19	-	11145494	11155997	SPC24	147841
LINC00290-4-1	chr4	-	181064089	181159149	LINC00290	728081
PARP3-3-1	chr3	+	51942277	51948867	PARP3	10039
KRTAP10-7-21-1	chr21	+	44600597	44602174	KRTAP10-7	386675
WDR34-9-1	chr9	-	128633653	128656850	WDR34	89891
RGS5-1-1	chr1	-	163142299	163321791	RGS5	8490
NR1H3-11-1	chr11	+	47248300	47269033	NR1H3	10062
AKAP13-15-1	chr15	+	85380616	85749358	AKAP13	11214
GTF2H2B-5-1	chr5	+	70415370	70450362	GTF2H2B	653238
ARHGEF1-19-1	chr19	+	41883200	41907452	ARHGEF1	9138
SERPINA5-14-1	chr14	+	94581369	94593120	SERPINA5	5104
ROCK1P1-18-1	chr18	+	109065	122219	ROCK1P1	727758
SMARCD1-12-1	chr12	+	50085200	50100711	SMARCD1	6602
TCHH-1-1	chr1	-	152106317	152115454	TCHH	7062
METTL16-17-1	chr17	-	2416049	2511906	METTL16	79066
LOC101928150-10-1	chr10	+	6618716	6639781	LOC101928150	101928150
MIR144-17-1	chr17	-	28861533	28861618	MIR144	406936
ZDHHC4-7-1	chr7	+	6577413	6588996	ZDHHC4	55146
RARRES1-3-1	chr3	-	158696892	158732944	RARRES1	5918
SGCE-7-1	chr7	-	94585224	94656209	SGCE	8910
PRR7-AS1-5-1	chr5	-	177437889	177447944	PRR7-AS1	340037
EFHD2-1-1	chr1	+	15409895	15430343	EFHD2	79180
FOXK1-7-1	chr7	+	4642284	4771443	FOXK1	221937
PRKCI-3-1	chr3	+	170222432	170305982	PRKCI	5584
HERC4-10-1	chr10	-	67921899	68075346	HERC4	26091
MAGOHB-12-1	chr12	-	10604190	10613609	MAGOHB	55110
RAB5A-3-1	chr3	+	19947080	19985175	RAB5A	5868
LINC00029-20-1	chr20	-	63034217	63037028	LINC00029	100144596
HIST2H2AA4-1-1	chr1	+	149851061	149851594	HIST2H2AA4	723790
FAM213B-1-1	chr1	+	2586460	2591469	FAM213B	127281
TMCO5A-15-1	chr15	+	37934607	37997541	TMCO5A	145942
F2R-5-1	chr5	+	76716043	76735780	F2R	2149
REG1P-2-1	chr2	-	79135503	79138427	REG1CP	5969
TAC3-12-1	chr12	-	57009997	57016560	TAC3	6866
RBM34-1-1	chr1	-	235131183	235161616	RBM34	23029
MIR6775-16-1	chr16	-	87834592	87834660	MIR6775	102465464
SMIM21-18-1	chr18	-	75409476	75455653	SMIM21	284274
CASC17-17-1	chr17	-	71097774	71202179	CASC17	101928165
LRRC25-19-1	chr19	-	18391137	18397645	LRRC25	126364
NAALADL2-AS2-3-1	chr3	-	175235092	175271096	NAALADL2-AS2	100874244
OR4K3-14-1	chr14	-	19867897	19869443	OR4K3	283617
MIR573-4-1	chr4	-	24520192	24520290	MIR573	693158
MIR1286-22-1	chr22	-	20249134	20249211	MIR1286	100302118
BECN2-1-1	chr1	+	241957767	241959062	BECN2	441925
LENEP-1-1	chr1	+	154993586	154994315	LENEP	55891
FAM98C-19-1	chr19	+	38403124	38409088	FAM98C	147965
LINC01481-12-1	chr12	-	70222190	70243360	LINC01481	101928062
LINC02200-5-1	chr5	+	112628436	112630921	LINC02200	102467214
VPS9D1-AS1-16-1	chr16	+	89711856	89718165	VPS9D1-AS1	100128881
MIR6802-19-1	chr19	-	55239912	55239976	MIR6802	102465481
ASCC2-22-1	chr22	-	29788608	29838304	ASCC2	84164
FAM99B-11-1	chr11	-	1683270	1685629	FAM99B	100132464
CACNA2D3-3-1	chr3	+	54122594	55074557	CACNA2D3	55799
ME1-6-1	chr6	-	83210389	83431219	ME1	4199
DCTN6-8-1	chr8	+	30156297	30183639	DCTN6	10671
BLOC1S6-15-1	chr15	+	45587123	45609716	BLOC1S6	26258
TXNDC9-2-1	chr2	-	99306184	99336397	TXNDC9	10190
MIR18A-13-1	chr13	+	91350751	91350821	MIR18A	406953
SLC22A14-3-1	chr3	+	38281662	38318575	SLC22A14	9389
CD300LB-17-1	chr17	-	74521174	74531474	CD300LB	124599
MIR4421-1-1	chr1	+	51059837	51059905	MIR4421	100616189
SPINT2-19-1	chr19	+	38264458	38292614	SPINT2	10653
MTMR12-5-1	chr5	-	32227007	32313008	MTMR12	54545
WDR35-2-1	chr2	-	19910260	19990123	WDR35	57539
ASGR2-17-1	chr17	-	7101322	7115538	ASGR2	433
GPR37L1-1-1	chr1	+	202118669	202133588	GPR37L1	9283
RASA1-5-1	chr5	+	87267845	87391926	RASA1	5921
YIF1B-19-1	chr19	-	38303560	38315976	YIF1B	90522
GINS4-8-1	chr8	+	41529205	41545046	GINS4	84296
SH2D3C-9-1	chr9	-	127738317	127778769	SH2D3C	10044
LOC101927989-18-1	chr18	+	76491652	76493918	LOC101927989	101927989
WDR82-3-1	chr3	-	52254422	52278643	WDR82	80335
SLC9B2-4-1	chr4	-	103018033	103077371	SLC9B2	133308
LCE2C-1-1	chr1	+	152675315	152676574	LCE2C	353140
NMUR1-2-1	chr2	-	231519903	231530471	NMUR1	10316
EIF1B-AS1-3-1	chr3	-	40173145	40309698	EIF1B-AS1	440952
MIR660-23-1	chrX	+	50013241	50013337	MIR660	724030
CYFIP1-15-1	chr15	-	22867052	22980906	CYFIP1	23191
NBPF11-1-1	chr1	-	148102046	148152190	NBPF11	200030
SPAG1-8-1	chr8	+	100157869	100241904	SPAG1	6674
ZNF282-7-1	chr7	+	149195462	149226248	ZNF282	8427
LINC01108-6-1	chr6	-	14280127	14285454	LINC01108	102216342
SSPO-7-1	chr7	+	149776042	149833965	SSPO	23145
DYRK3-1-1	chr1	+	206635536	206655158	DYRK3	8444
STXBP4-17-1	chr17	+	54968728	55164285	STXBP4	252983
